text,sentiment
pahid,negative
pagkagambala,negative
pagkabaliw,negative
opposition,negative
napakatibay,negative
nalulungkot,negative
nakatatakot,negative
nakakainis,negative
naiinis,negative
matakaw,negative
mapurol,negative
mapawi,negative
maliitin,negative
malaswa,negative
malas,negative
makipagtalo,negative
maitaboy,negative
mahayag,negative
magkasala,negative
mabaho,negative
louder,negative
lose,negative
limits,negative
lie,negative
leche,negative
lacking,negative
karaingan,negative
kalabuan,negative
isinakripisyo,negative
irregular,negative
inis,negative
infection,negative
inactive,negative
imitasyon,negative
ikulong,negative
heretic,negative
halang,negative
expire,negative
errors,negative
doubt,negative
discontinued,negative
disagree,negative
destroy,negative
dayain,negative
daya,negative
dalamhati,negative
dagsa,negative
criticized,negative
contentious,negative
concerned,negative
cheat,negative
blow,negative
bawian,negative
bangungot,negative
ax,negative
arbitrary,negative
aminin,negative
aksaya,negative
abuses,negative
